重庆电信-组播1,#genre#
重庆红岩文化,http://119.84.196.124:7777/rtp/235.254.198.182:7980
重庆文体娱乐,http://119.84.196.124:7777/rtp/235.254.198.187:7980
重庆新农村,http://119.84.196.124:7777/rtp/235.254.198.186:7980
重广融媒,http://119.84.196.124:7777/rtp/235.254.196.218:1146
重庆少儿频道,http://119.84.196.124:7777/rtp/235.254.196.214:1128
重庆红叶频道,http://119.84.196.124:7777/rtp/235.254.196.215:1132
重庆汽摩频道,http://119.84.196.124:7777/rtp/235.254.196.221:1156
重庆移动频道,http://119.84.196.124:7777/rtp/235.254.196.217:1140
开州综合,http://119.84.196.124:7777/rtp/235.254.198.145:1870
卡酷少儿,http://119.84.196.124:7777/rtp/235.254.198.49:1472
金鹰卡通,http://119.84.196.124:7777/rtp/235.254.198.50:1476
嘉佳卡通,http://119.84.196.124:7777/rtp/235.254.198.110:1716
华数爱上4K,http://119.84.196.124:7777/rtp/235.254.198.102:7980
华数少儿动画,http://119.84.196.124:7777/rtp/235.254.198.116:1740
华数动画,http://119.84.196.124:7777/rtp/235.254.198.87:1624
华数武侠剧场,http://119.84.196.124:7777/rtp/235.254.198.97:1664
华数喜剧影院,http://119.84.196.124:7777/rtp/235.254.198.98:1668
华数动作影院,http://119.84.196.124:7777/rtp/235.254.198.99:1672
华数家庭影院,http://119.84.196.124:7777/rtp/235.254.198.100:1676
华数星影,http://119.84.196.124:7777/rtp/235.254.198.101:1680
华数精选,http://119.84.196.124:7777/rtp/235.254.198.81:1600
华数经典电影,http://119.84.196.124:7777/rtp/235.254.198.114:1732
华数城市剧场,http://119.84.196.124:7777/rtp/235.254.198.74:1572
华数军旅剧场,http://119.84.196.124:7777/rtp/235.254.198.75:1576
华数谍战剧场,http://119.84.196.124:7777/rtp/235.254.198.117:1744
华数魅力时尚,http://119.84.196.124:7777/rtp/235.254.198.115:1736
IPTV6华数电影,http://119.84.196.124:7777/rtp/235.254.198.15:1336
热播剧场,http://119.84.196.124:7777/rtp/235.254.198.113:1728
古装剧场,http://119.84.196.124:7777/rtp/235.254.198.76:1580
光影,http://119.84.196.124:7777/rtp/235.254.198.91:1640


