吉林电信-组播1,#genre#
睛彩竞技,http://36.49.53.110:8800/rtp:/239.37.0.215:5540
睛彩篮球,http://36.49.53.110:8800/rtp:/239.37.0.38:5540
睛彩青少,http://36.49.53.110:8800/rtp:/239.37.0.40:5540
睛彩广场舞,http://36.49.53.110:8800/rtp:/239.37.0.42:5540
咪咕体育,http://36.49.53.110:8800/rtp/239.37.0.194:5540
卡酷少儿,http://36.49.53.110:8800/rtp:/239.37.0.60:5540
卡酷少儿,http://36.49.53.110:8800/rtp:/239.37.0.76:5540
金鹰卡通,http://36.49.53.110:8800/rtp:/239.37.1.19:5540
嘉佳卡通,http://36.49.53.110:8800/rtp:/239.37.0.67:5540
哈哈炫动,http://36.49.53.110:8800/rtp:/239.37.0.65:5540
吉视都市,http://36.49.53.110:8800/rtp:/239.37.1.2:5540
吉视生活,http://36.49.53.110:8800/rtp:/239.37.1.4:5540
吉视影视,http://36.49.53.110:8800/rtp:/239.37.1.3:5540
吉视乡村,http://36.49.53.110:8800/rtp:/239.37.1.5:5540
吉视公共.新闻,http://36.49.53.110:8800/rtp:/239.37.1.6:5540
吉视综艺.文化,http://36.49.53.110:8800/rtp:/239.37.1.7:5540
吉视东北戏曲,http://36.49.53.110:8800/rtp:/239.37.1.9:5540
吉林教育,http://36.49.53.110:8800/rtp:/239.37.0.126:5540
吉林篮球,http://36.49.53.110:8800/http://36.49.53.110:8800/rtp/239.37.0.216:5540
长影频道,http://36.49.53.110:8800/rtp:/239.37.0.125:5540
白山1-新闻综合,http://36.49.53.110:8800/rtp:/239.37.0.137:5540
白山2-旅游生活,http://36.49.53.110:8800/rtp:/239.37.0.138:5540
长春综合,http://36.49.53.110:8800/rtp:/239.37.0.96:5540
长春文旅体育,http://36.49.53.110:8800/rtp:/239.37.0.97:5540
长春市民生活,http://36.49.53.110:8800/rtp:/239.37.0.98:5540
长春经济,http://36.49.53.110:8800/rtp:/239.37.0.99:5540
长春汽车,http://36.49.53.110:8800/rtp:/239.37.0.100:5540
双阳,http://36.49.53.110:8800/rtp:/239.37.1.24:5540
农安,http://36.49.53.110:8800/rtp:/239.37.0.144:5540
吉林1-综合,http://36.49.53.110:8800/rtp:/239.37.0.127:5540
吉林2-科教,http://36.49.53.110:8800/rtp:/239.37.0.128:5540
吉林3-公共,http://36.49.53.110:8800/rtp:/239.37.0.129:5540
磐石,http://36.49.53.110:8800/rtp:/239.37.0.164:5540
舒兰,http://36.49.53.110:8800/rtp:/239.37.0.217:5540
蛟河,http://36.49.53.110:8800/rtp:/239.37.0.252:5540
桦甸,http://36.49.53.110:8800/rtp:/239.37.0.225:5540
延边1,http://36.49.53.110:8800/rtp:/239.37.0.248:5540
延边2,http://36.49.53.110:8800/rtp:/239.37.0.249:5540
延吉,http://36.49.53.110:8800/rtp:/239.37.0.167:5540
敦化,http://36.49.53.110:8800/rtp:/239.37.1.29:5540
图们,http://36.49.53.110:8800/rtp:/239.37.0.166:5540
汪清,http://36.49.53.110:8800/rtp:/239.37.0.165:5540
四平1,http://36.49.53.110:8800/rtp:/239.37.0.130:5540
四平2,http://36.49.53.110:8800/rtp:/239.37.0.131:5540
梨树,http://36.49.53.110:8800/rtp:/239.37.0.168:5540
双辽,http://36.49.53.110:8800/rtp:/239.37.0.169:5540
公主岭,http://36.49.53.110:8800/rtp:/239.37.0.170:5540
伊通,http://36.49.53.110:8800/rtp:/239.37.0.171:5540
