江苏电信-组播1,#genre#
文物宝库,http://49.77.104.109:8554/rtp/239.49.0.209:8000
精彩推荐高清,http://49.77.104.109:8554/rtp/239.49.8.34:8612
睛彩竞技,http://49.77.104.109:8554/rtp/239.49.8.39:8000
睛彩篮球,http://49.77.104.109:8554/rtp/239.49.8.42:8000
睛彩青少,http://49.77.104.109:85543/rtp/239.49.8.46:8000
睛彩广场舞,http://49.77.104.109:8554/rtp/239.49.8.64:8000
江苏城市,http://49.77.104.109:8554/rtp/239.49.8.107:8000
江苏综艺,http://49.77.104.109:8554/rtp/239.49.8.108:8000
江苏体育休闲,http://49.77.104.109:8554/rtp/239.49.8.117:8000
江苏影视,http://49.77.104.109:8554/rtp/239.49.8.118:8000
江苏新闻,http://49.77.104.109:8554/rtp/239.49.8.120:8000
江苏教育,http://49.77.104.109:8554/rtp/239.49.8.122:8000
江苏国际,http://49.77.104.109:8554/rtp/239.49.0.22:8168
优漫卡通,http://49.77.104.109:8554/rtp/239.49.8.119:8000
南京十八生活,http://49.77.104.109:8554/rtp/239.49.0.26:8200
南京新闻,http://49.77.104.109:8554/rtp/239.49.0.25:8192
南京影视,http://49.77.104.109:8554/rtp/239.49.0.24:8000
南京文旅纪录,http://49.77.104.109:8554/rtp/239.49.0.38:8000
南京少儿,http://49.77.104.109:8554/rtp/239.49.0.45:8000
南京教科,http://49.77.104.109:8554/rtp/239.49.0.183:9434
南京高淳新闻,http://49.77.104.109:8554/rtp/239.49.0.74:8000
淮安新闻综合,http://49.77.104.109:8554/rtp/239.49.0.204:8000
淮安公共,http://49.77.104.109:8554/rtp/239.49.0.181:8000
淮安影视娱乐,http://49.77.104.109:8554/rtp/239.49.0.192:8000
淮安洪泽1,http://49.77.104.109:8554/rtp/239.49.0.89:8000
淮安淮阴综合,http://49.77.104.109:8554/rtp/239.49.0.169:8000
淮安盱眙综合,http://49.77.104.109:8554/rtp/239.49.0.237:8000
徐州1,http://49.77.104.109:8554/rtp/239.49.0.203:8000
徐州2,http://49.77.104.109:8554/rtp/239.49.0.199:8000
徐州3,http://49.77.104.109:8554/rtp/239.49.0.211:8000
徐州4,http://49.77.104.109:8554/rtp/239.49.0.216:8000
常州综合,http://49.77.104.109:8554/rtp/239.49.0.221:9594
常州公共,http://49.77.104.109:8554/rtp/239.49.0.218:9582
常州生活,http://49.77.104.109:8554/rtp/239.49.0.219:9586
常州都市,http://49.77.104.109:8554/rtp/239.49.0.220:9590
苏州生活资讯5,http://49.77.104.109:8554/rtp/239.49.8.116:8000
南通新闻综合,http://49.77.104.109:8554/rtp/239.49.0.223:8000
南通社教,http://49.77.104.109:8554/rtp/239.49.0.224:8000
南通公共,http://49.77.104.109:8554/rtp/239.49.0.197:8000
连云港新闻综合,http://49.77.104.109:8554/rtp/239.49.0.225:8000
连云港生活频道,http://49.77.104.109:8554/rtp/239.49.0.229:8000
盐城1,http://49.77.104.109:8554/rtp/239.49.8.30:8000
盐城2,http://49.77.104.109:8554/rtp/239.49.0.88:8000
盐城3,http://49.77.104.109:8554/rtp/239.49.0.91:8000
镇江新闻综合,http://49.77.104.109:8554/rtp/239.49.0.98:8000
泰州1,http://49.77.104.109:8554/rtp/239.49.0.215:8000
泰州2,http://49.77.104.109:8554/rtp/239.49.0.217:8000
泰州3,http://49.77.104.109:8554/rtp/239.49.0.222:8000
宿迁综合,http://49.77.104.109:8554/rtp/239.49.0.231:8000
宿迁公共,http://49.77.104.109:8554/rtp/239.49.0.236:8000
宿迁宿豫综合,http://49.77.104.109:8554/rtp/239.49.0.83:8000
宿迁沭阳综合,http://49.77.104.109:8554/rtp/239.49.0.189:8792
宿迁泗洪综合,http://49.77.104.109:8554/rtp/239.49.0.195:8000
盐城响水综合,http://49.77.104.109:8554/rtp/239.49.0.115:8912
泰州兴化新闻综合,http://49.77.104.109:8554/rtp/239.49.0.162:8000
泰州泰兴综合,http://49.77.104.109:8554/rtp/239.49.0.168:8000
徐州新沂1,http://49.77.104.109:8554/rtp/239.49.0.238:8000
徐州沛县新闻综合,http://49.77.104.109:8554/rtp/239.49.0.214:8000
徐州睢宁综合,http://49.77.104.109:8554/rtp/239.49.0.239:8000
徐州贾汪新闻,http://49.77.104.109:8554/rtp/239.49.0.248:8000
徐州邳州综合,http://49.77.104.109:8554/rtp/239.49.0.182:8000
徐州铜山1,http://49.77.104.109:8554/rtp/239.49.0.163:8000
常州金坛电视台,http://49.77.104.109:8554/rtp/239.49.1.54:8000
连云港东海综合,http://49.77.104.109:8554/rtp/239.49.0.121:8000
连云港赣榆电视台,http://49.77.104.109:8554/rtp/239.49.0.241:8000
直播室,http://49.77.104.109:8554/rtp/239.49.8.63:9354
苏超1,http://49.77.104.109:8554/rtp/239.49.8.96:8000
苏超2,http://49.77.104.109:8554/rtp/239.49.8.97:8000
苏超3,http://49.77.104.109:8554/rtp/239.49.8.98:8000
苏超4,http://49.77.104.109:8554/rtp/239.49.8.99:8000
苏超5,http://49.77.104.109:8554/rtp/239.49.8.100:8000
苏超6,http://49.77.104.109:8554/rtp/239.49.8.101:8000
苏超7,http://49.77.104.109:8554/rtp/239.49.8.63:9354
CBA直播1,http://49.77.104.109:8554/rtp/239.49.8.91:8000
CBA直播2,http://49.77.104.109:8554/rtp/239.49.8.92:8000
CBA直播3,http://49.77.104.109:8554/rtp/239.49.8.93:8000
CBA直播4,http://49.77.104.109:8554/rtp/239.49.8.94:8000
CBA直播5,http://49.77.104.109:8554/rtp/239.49.8.95:8000
